Bez1,OP3 Rot,Bez2,Bez3,Sigmaban,Wolfgang,Nugus
0.00,0.01,0.02,0.95,0.03,0.04,0.01
0.00,0.01,0.00,0.95,0.00,0.07,0.02
0.00,0.01,0.02,0.94,0.04,0.01,0.00
0.01,0.00,0.02,0.94,0.13,0.07,0.00
0.00,0.01,0.04,0.95,0.01,0.02,0.01
0.00,0.00,0.02,0.95,0.00,0.02,0.00
0.00,0.00,0.03,0.94,0.03,0.03,0.01
0.00,0.02,0.01,0.95,0.02,0.03,0.01
0.00,0.01,0.02,0.95,0.00,0.07,0.00
0.00,0.01,0.01,0.95,0.03,0.03,0.00
0.19,0.90,0.68,0.95,0.53,0.83,0.33
0.00,0.00,0.00,0.90,0.00,0.00,0.00
0.00,0.55,0.09,0.95,0.21,0.46,0.00
0.00,0.85,0.43,0.94,0.49,0.67,0.21
0.00,0.00,0.00,0.95,0.01,0.00,0.00
0.00,0.00,0.00,0.95,0.00,0.00,0.00
0.00,0.00,0.00,0.94,0.01,0.00,0.00
0.00,0.00,0.00,0.94,0.00,0.00,0.00
0.00,0.00,0.00,0.94,0.00,0.00,0.00
0.00,0.00,0.00,0.93,0.00,0.00,0.00
0.38,0.50,0.50,0.94,0.40,0.93,0.34
0.15,0.54,0.45,0.94,0.36,0.93,0.13
0.04,0.35,0.43,0.95,0.22,0.93,0.43
0.16,0.65,0.79,0.95,0.39,0.93,0.70
0.13,0.35,0.45,0.94,0.50,0.93,0.64
0.12,0.54,0.51,0.95,0.36,0.93,0.32
0.24,0.75,0.48,0.94,0.26,0.92,0.36
0.18,0.51,0.43,0.93,0.50,0.93,0.19
0.21,0.60,0.56,0.95,0.58,0.92,0.07
0.10,0.25,0.37,0.93,0.44,0.92,0.23
0.24,0.11,0.22,0.94,0.00,0.15,0.16
0.01,0.00,0.01,0.95,0.01,0.00,0.00
0.03,0.00,0.04,0.93,0.00,0.00,0.00
0.01,0.01,0.12,0.95,0.01,0.12,0.00
0.09,0.01,0.24,0.95,0.12,0.06,0.00
0.05,0.00,0.02,0.91,0.00,0.00,0.00
0.00,0.00,0.00,0.93,0.00,0.00,0.00
0.92,0.36,0.68,0.95,0.23,0.18,0.46
0.89,0.53,0.72,0.95,0.28,0.54,0.55
0.14,0.05,0.16,0.95,0.04,0.45,0.43
0.52,0.56,0.76,0.93,0.20,0.87,0.70
0.45,0.81,0.84,0.92,0.29,0.92,0.16
0.26,0.75,0.90,0.94,0.30,0.92,0.75
0.37,0.65,0.81,0.89,0.40,0.92,0.09
0.52,0.77,0.89,0.92,0.31,0.92,0.48
0.53,0.88,0.98,0.94,0.52,0.91,0.28
0.18,0.12,0.30,0.94,0.43,0.93,0.21
0.48,0.86,0.92,0.95,0.55,0.93,0.51
0.25,0.83,0.84,0.95,0.46,0.93,0.58
0.34,0.73,0.86,0.95,0.49,0.92,0.56
0.17,0.44,0.53,0.88,0.20,0.92,0.88
0.10,0.57,0.55,0.94,0.38,0.93,0.88
0.33,0.54,0.75,0.93,0.42,0.93,0.88
0.15,0.53,0.40,0.94,0.88,0.93,0.87
0.35,0.43,0.74,0.92,0.49,0.92,0.84
0.25,0.75,0.89,0.93,0.38,0.93,0.82
0.20,0.53,0.60,0.92,0.51,0.90,0.92
0.02,0.23,0.30,0.92,0.33,0.92,0.88
0.10,0.27,0.34,0.95,0.42,0.93,0.90
0.02,0.08,0.17,0.44,0.61,0.93,0.89
0.62,0.78,0.92,0.95,0.71,0.93,0.88
0.24,0.43,0.46,0.91,0.49,0.90,0.89
0.44,0.66,0.66,0.87,0.32,0.92,0.85
0.86,0.81,0.94,0.93,0.32,0.93,0.75
0.30,0.52,0.48,0.91,0.44,0.93,0.82
0.35,0.48,0.48,0.63,0.28,0.93,0.90
0.28,0.53,0.22,0.45,0.43,0.91,0.87
0.86,0.81,0.92,0.92,0.44,0.93,0.91
0.18,0.56,0.66,0.94,0.20,0.92,0.88
0.57,0.76,0.94,0.93,0.56,0.91,0.86
