Bez1,OP3 Rot,Bez2,Bez3,Sigmaban,Wolfgang,Nugus
0.58,0.62,0.84,0.74,0.96,0.93,0.61
0.19,0.87,0.45,0.64,0.49,0.86,0.77
0.23,0.74,0.44,0.89,0.89,0.93,0.88
0.06,0.09,0.28,0.45,0.89,0.91,0.79
0.12,0.41,0.54,0.75,0.90,0.93,0.92
0.13,0.87,0.60,0.91,1.00,0.91,0.86
0.06,0.38,0.40,0.64,0.95,0.92,0.87
0.18,0.32,0.52,0.87,0.90,0.88,0.85
0.03,0.66,0.50,0.74,0.31,0.58,0.40
0.43,0.82,0.94,0.91,0.98,0.92,0.92
0.02,0.08,0.88,0.90,0.93,0.91,0.88
0.34,0.40,0.97,0.93,0.97,0.92,0.93
0.08,0.39,0.48,0.32,0.46,0.77,0.71
0.00,0.14,0.28,0.40,0.73,0.91,0.88
0.04,0.27,0.67,0.91,0.99,0.90,0.90
0.07,0.54,0.44,0.31,0.86,0.85,0.72
0.00,0.42,0.98,0.95,0.99,0.93,0.85
0.00,0.62,0.71,0.93,0.96,0.93,0.92
0.27,0.38,0.98,0.86,0.97,0.93,0.92
0.01,0.29,0.53,0.87,0.93,0.87,0.88
0.00,0.87,0.51,0.93,0.96,0.92,0.62
0.00,0.06,0.03,0.95,0.63,0.93,0.91
0.03,0.16,0.10,0.83,0.95,0.90,0.71
0.00,0.27,0.14,0.12,0.65,0.92,0.87
0.22,0.52,0.49,0.89,1.00,0.92,0.87
0.00,0.07,0.26,0.90,0.90,0.90,0.84
0.13,0.42,0.39,0.91,0.98,0.92,0.88
0.25,0.78,0.49,0.92,0.96,0.91,0.78
0.20,0.56,0.56,0.43,0.95,0.91,0.90
0.34,0.83,0.44,0.91,0.54,0.88,0.83
0.36,0.89,0.89,0.05,1.00,0.93,0.82
0.31,0.82,0.79,0.17,0.90,0.93,0.91
0.40,0.69,0.59,0.65,0.81,0.85,0.64
0.05,0.22,0.46,0.13,0.84,0.93,0.78
0.34,0.74,0.83,0.21,0.91,0.91,0.86
0.36,0.83,0.97,0.17,1.00,0.92,0.83
0.31,0.75,0.61,0.16,0.98,0.93,0.87
0.23,0.67,0.65,0.03,0.95,0.92,0.89
0.30,0.76,0.49,0.06,0.97,0.89,0.83
0.12,0.27,0.27,0.10,0.56,0.79,0.77
0.62,0.78,0.92,0.95,0.71,0.93,0.88
0.24,0.43,0.46,0.91,0.49,0.90,0.89
0.44,0.66,0.66,0.87,0.32,0.92,0.85
0.86,0.81,0.94,0.93,0.32,0.93,0.75
0.30,0.52,0.48,0.91,0.44,0.93,0.82
0.35,0.48,0.48,0.63,0.28,0.93,0.90
0.28,0.53,0.22,0.45,0.43,0.91,0.87
0.86,0.81,0.92,0.92,0.44,0.93,0.91
0.18,0.56,0.66,0.94,0.20,0.92,0.88
0.57,0.76,0.94,0.93,0.56,0.91,0.86
0.92,0.87,0.97,0.83,1.00,0.92,0.89
0.90,0.88,0.98,0.95,1.00,0.86,0.88
0.66,0.81,0.93,0.42,0.62,0.58,0.32
0.82,0.81,0.96,0.95,0.99,0.75,0.86
0.57,0.76,0.94,0.91,0.97,0.30,0.44
0.34,0.77,0.72,0.94,0.98,0.86,0.84
0.65,0.81,0.94,0.94,0.90,0.87,0.52
0.24,0.82,0.60,0.93,0.98,0.92,0.78
0.33,0.89,0.50,0.95,0.68,0.51,0.77
0.32,0.61,0.46,0.84,0.92,0.68,0.77
0.34,0.61,0.77,0.61,0.97,0.89,0.22
0.37,0.56,0.65,0.84,0.88,0.85,0.18
0.25,0.71,0.91,0.52,0.94,0.93,0.75
0.14,0.56,0.59,0.77,0.97,0.92,0.58
0.52,0.78,0.76,0.94,0.98,0.91,0.14
0.89,0.86,0.93,0.90,0.96,0.92,0.34
0.90,0.85,0.96,0.93,1.00,0.91,0.49
0.25,0.46,0.46,0.91,0.70,0.72,0.32
0.80,0.79,0.94,0.92,0.99,0.93,0.03
0.74,0.73,0.91,0.86,0.91,0.91,0.32
