Bez1,OP3 Rot,Bez2,Bez3,Sigmaban,Wolfgang,Nugus
0.15,0.91,0.24,0.10,0.29,0.37,0.08
0.40,0.90,0.23,0.15,0.24,0.20,0.05
0.39,0.92,0.24,0.14,0.24,0.26,0.03
0.07,0.92,0.20,0.17,0.26,0.37,0.00
0.03,0.91,0.03,0.02,0.30,0.18,0.03
0.17,0.92,0.46,0.04,0.33,0.56,0.04
0.02,0.91,0.20,0.05,0.25,0.50,0.12
0.03,0.90,0.40,0.03,0.54,0.56,0.39
0.18,0.93,0.22,0.08,0.23,0.54,0.00
0.03,0.90,0.14,0.24,0.22,0.17,0.02
0.09,0.55,0.97,0.06,1.00,0.90,0.73
0.32,0.51,0.96,0.54,1.00,0.77,0.09
0.41,0.35,0.94,0.36,1.00,0.44,0.09
0.01,0.25,0.45,0.02,0.62,0.43,0.07
0.45,0.31,0.90,0.12,0.98,0.39,0.07
0.34,0.47,0.97,0.20,1.00,0.72,0.14
0.22,0.49,0.98,0.03,1.00,0.93,0.79
0.39,0.35,0.97,0.54,1.00,0.47,0.21
0.43,0.35,0.98,0.06,1.00,0.87,0.56
0.30,0.42,0.95,0.17,1.00,0.88,0.32
0.11,0.81,0.45,0.51,0.99,0.58,0.41
0.50,0.89,0.98,0.92,1.00,0.89,0.26
0.20,0.90,0.98,0.20,1.00,0.89,0.66
0.24,0.90,0.96,0.59,0.66,0.88,0.56
0.43,0.91,0.96,0.35,1.00,0.58,0.38
0.84,0.90,0.97,0.32,0.00,0.45,0.29
0.17,0.91,0.95,0.48,1.00,0.48,0.26
0.46,0.80,0.98,0.16,0.99,0.67,0.10
0.08,0.91,0.98,0.05,0.67,0.85,0.36
0.21,0.90,0.97,0.13,1.00,0.89,0.49
0.24,0.11,0.22,0.94,0.00,0.15,0.16
0.01,0.00,0.01,0.95,0.01,0.00,0.00
0.03,0.00,0.04,0.93,0.00,0.00,0.00
0.01,0.01,0.12,0.95,0.01,0.12,0.00
0.09,0.01,0.24,0.95,0.12,0.06,0.00
0.05,0.00,0.02,0.91,0.00,0.00,0.00
0.00,0.00,0.00,0.93,0.00,0.00,0.00
0.92,0.36,0.68,0.95,0.23,0.18,0.46
0.89,0.53,0.72,0.95,0.28,0.54,0.55
0.14,0.05,0.16,0.95,0.04,0.45,0.43
0.31,0.87,0.97,0.11,1.00,0.91,0.71
0.94,0.86,0.98,0.59,0.99,0.89,0.32
0.92,0.87,0.94,0.34,0.61,0.86,0.42
0.91,0.86,0.96,0.28,0.00,0.72,0.49
0.90,0.84,0.92,0.65,1.00,0.78,0.12
0.94,0.86,0.98,0.18,0.15,0.87,0.20
0.31,0.87,0.98,0.09,0.99,0.92,0.54
0.31,0.91,0.97,0.19,0.00,0.82,0.57
0.35,0.89,0.98,0.19,1.00,0.89,0.74
0.92,0.84,0.96,0.24,1.00,0.92,0.22
0.35,0.74,0.45,0.13,0.67,0.52,0.90
0.27,0.47,0.45,0.13,0.96,0.58,0.76
0.39,0.91,0.46,0.17,0.89,0.85,0.81
0.34,0.56,0.78,0.05,0.69,0.85,0.90
0.32,0.77,0.72,0.15,1.00,0.80,0.91
0.29,0.89,0.96,0.10,0.94,0.92,0.79
0.34,0.87,0.97,0.03,1.00,0.93,0.88
0.38,0.82,0.91,0.14,0.54,0.90,0.92
0.37,0.78,0.57,0.60,1.00,0.91,0.81
0.37,0.87,0.98,0.17,1.00,0.93,0.92
0.92,0.87,0.97,0.83,1.00,0.92,0.89
0.90,0.88,0.98,0.95,1.00,0.86,0.88
0.66,0.81,0.93,0.42,0.62,0.58,0.32
0.82,0.81,0.96,0.95,0.99,0.75,0.86
0.57,0.76,0.94,0.91,0.97,0.30,0.44
0.34,0.77,0.72,0.94,0.98,0.86,0.84
0.65,0.81,0.94,0.94,0.90,0.87,0.52
0.24,0.82,0.60,0.93,0.98,0.92,0.78
0.33,0.89,0.50,0.95,0.68,0.51,0.77
0.32,0.61,0.46,0.84,0.92,0.68,0.77
