Bez1,OP3 Rot,Bez2,Bez3,Sigmaban,Wolfgang,Nugus
0.38,0.20,0.52,0.17,0.19,0.40,0.04
0.97,0.07,0.67,0.35,0.28,0.32,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.95,0.43,0.76,0.63,0.23,0.67,0.09
0.96,0.37,0.79,0.35,0.17,0.76,0.03
0.96,0.27,0.73,0.00,0.32,0.27,0.10
0.94,0.06,0.58,0.03,0.22,0.60,0.00
0.96,0.16,0.69,0.02,0.21,0.61,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.95,0.44,0.46,0.17,0.24,0.38,0.12
0.15,0.91,0.24,0.10,0.29,0.37,0.08
0.40,0.90,0.23,0.15,0.24,0.20,0.05
0.39,0.92,0.24,0.14,0.24,0.26,0.03
0.07,0.92,0.20,0.17,0.26,0.37,0.00
0.03,0.91,0.03,0.02,0.30,0.18,0.03
0.17,0.92,0.46,0.04,0.33,0.56,0.04
0.02,0.91,0.20,0.05,0.25,0.50,0.12
0.03,0.90,0.40,0.03,0.54,0.56,0.39
0.18,0.93,0.22,0.08,0.23,0.54,0.00
0.03,0.90,0.14,0.24,0.22,0.17,0.02
0.36,0.19,0.98,0.28,0.35,0.51,0.03
0.17,0.36,0.98,0.15,0.23,0.85,0.02
0.21,0.34,0.97,0.22,0.28,0.27,0.03
0.44,0.12,0.98,0.32,0.57,0.25,0.00
0.30,0.06,0.98,0.37,0.35,0.55,0.04
0.28,0.18,0.97,0.50,0.16,0.38,0.00
0.33,0.17,0.98,0.15,0.26,0.56,0.11
0.62,0.16,0.98,0.09,0.66,0.68,0.00
0.64,0.17,0.98,0.06,0.40,0.72,0.07
0.28,0.14,0.98,0.64,0.21,0.37,0.01
0.00,0.01,0.02,0.95,0.03,0.04,0.01
0.00,0.01,0.00,0.95,0.00,0.07,0.02
0.00,0.01,0.02,0.94,0.04,0.01,0.00
0.01,0.00,0.02,0.94,0.13,0.07,0.00
0.00,0.01,0.04,0.95,0.01,0.02,0.01
0.00,0.00,0.02,0.95,0.00,0.02,0.00
0.00,0.00,0.03,0.94,0.03,0.03,0.01
0.00,0.02,0.01,0.95,0.02,0.03,0.01
0.00,0.01,0.02,0.95,0.00,0.07,0.00
0.00,0.01,0.01,0.95,0.03,0.03,0.00
0.08,0.47,0.29,0.25,0.95,0.62,0.35
0.07,0.22,0.46,0.03,1.00,0.44,0.02
0.08,0.46,0.30,0.63,1.00,0.90,0.54
0.08,0.50,0.40,0.70,1.00,0.77,0.36
0.13,0.68,0.22,0.05,1.00,0.86,0.46
0.14,0.49,0.43,0.18,1.00,0.32,0.08
0.10,0.68,0.39,0.03,1.00,0.83,0.53
0.08,0.77,0.15,0.52,1.00,0.69,0.53
0.00,0.00,0.00,0.01,0.60,0.02,0.00
0.06,0.40,0.28,0.13,0.97,0.78,0.65
0.14,0.53,0.49,0.47,0.39,0.93,0.62
0.16,0.48,0.42,0.63,0.28,0.92,0.74
0.16,0.65,0.48,0.16,0.36,0.93,0.77
0.07,0.76,0.27,0.13,0.37,0.93,0.92
0.16,0.41,0.56,0.40,0.38,0.93,0.42
0.25,0.38,0.65,0.94,0.36,0.93,0.09
0.16,0.57,0.27,0.31,0.42,0.93,0.53
0.14,0.59,0.61,0.63,0.56,0.93,0.88
0.13,0.48,0.49,0.38,0.35,0.90,0.73
0.06,0.44,0.64,0.63,0.39,0.93,0.48
0.00,0.00,0.01,0.01,0.00,0.24,0.10
0.01,0.01,0.00,0.00,0.00,0.07,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.01,0.00,0.02,0.00,0.03,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.93,0.00
0.01,0.00,0.03,0.00,0.00,0.93,0.00
0.00,0.01,0.07,0.10,0.00,0.20,0.92
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.01,0.01,0.00,0.00,0.00,0.02,0.01
